date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:23	174547/174547	---M--	200	added ('OK')	image/jpeg	etag:%225e3c4058-2a9d3%22	http://paul-themes.com/html/ramsay/images/bg/project3-1.jpg	paul-themes.com/html/ramsay/images/bg/project3-1.jpg	(from http://paul-themes.com/html/ramsay/project-detail.html)
12:37:24	131721/131721	---M--	200	added ('OK')	image/jpeg	etag:%225e3c4059-20289%22	http://paul-themes.com/html/ramsay/images/bg/project3-2.jpg	paul-themes.com/html/ramsay/images/bg/project3-2.jpg	(from http://paul-themes.com/html/ramsay/project-detail.html)
12:37:38	120724/120724	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221d794-59deadc81fb4f%22	http://paul-themes.com/html/ramsay/fonts/ionicons.eot?v=2.0.0	paul-themes.com/html/ramsay/fonts/ionicons28b5.eot	(from http://paul-themes.com/html/ramsay/css/ionicons.min.css)
12:37:41	227567/227567	---M--	200	added ('OK')	image/jpeg	etag:%225e3c4059-378ef%22	http://paul-themes.com/html/ramsay/images/bg/project5.jpg	paul-themes.com/html/ramsay/images/bg/project5.jpg	(from http://paul-themes.com/html/ramsay/projects.html)
12:37:52	333834/333834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e3c4053-5180a%22	http://paul-themes.com/html/ramsay/fonts/ionicons.svg?v=2.0.0	paul-themes.com/html/ramsay/fonts/ionicons28b5.svg	(from http://paul-themes.com/html/ramsay/css/ionicons.min.css)
12:37:54	67904/67904	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2210940-59deadc8b41fb%22	http://paul-themes.com/html/ramsay/fonts/ionicons.woff?v=2.0.0	paul-themes.com/html/ramsay/fonts/ionicons28b5.woff	(from http://paul-themes.com/html/ramsay/css/ionicons.min.css)
12:37:56	188508/188508	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%222e05c-59deadc8ae43e%22	http://paul-themes.com/html/ramsay/fonts/ionicons.ttf?v=2.0.0	paul-themes.com/html/ramsay/fonts/ionicons28b5.ttf	(from http://paul-themes.com/html/ramsay/css/ionicons.min.css)
12:37:56	171/171	---MCZ	200	added ('OK')	text/css	etag:W/%225e3c4048-ed%22	http://paul-themes.com/html/ramsay/css/base.css	paul-themes.com/html/ramsay/css/base.css	(from http://paul-themes.com/html/ramsay/css/animsition.css)
12:37:58	218998/218998	---M--	200	added ('OK')	image/jpeg	etag:%225e3c405b-35776%22	http://paul-themes.com/html/ramsay/images/bg/project7.jpg	paul-themes.com/html/ramsay/images/bg/project7.jpg	(from http://paul-themes.com/html/ramsay/projects.html)
12:37:58	591/591	---MCZ	200	added ('OK')	text/css	etag:W/%225e3c404a-2e6%22	http://paul-themes.com/html/ramsay/css/loading.css	paul-themes.com/html/ramsay/css/loading.css	(from http://paul-themes.com/html/ramsay/css/animsition.css)
